trip_id,start_time,end_time,headway_secs,exact_times
28253186,16:52:00,17:09:00,1020,1
28253189,17:25:00,19:01:00,960,1
28233878,06:20:00,19:20:00,1560,1
28233879,19:48:00,21:12:00,1680,1
28228868,06:45:00,07:14:00,1740,1
28228871,07:37:00,08:23:00,1380,1
28228874,08:47:00,13:00:00,1380,1
28228877,13:28:00,19:32:00,1680,1
28280259,06:35:00,07:04:00,1740,1
28280260,07:34:00,08:03:00,1740,1
28280261,08:33:00,09:05:00,960,1
28280262,09:27:00,11:39:00,1320,1
28280263,12:02:00,12:25:00,1380,1
28280264,12:46:00,13:26:00,1200,1
28280265,13:43:00,14:00:00,1020,1
28280266,14:20:00,18:00:00,1200,1
28280267,18:25:00,20:55:00,1800,1
28279931,05:18:00,06:48:00,1800,1
28279934,07:08:00,08:28:00,1200,1
28279937,08:45:00,09:03:00,1080,1
28279940,09:20:00,18:40:00,1200,1
28224920,07:00:00,19:40:00,1200,1
28250760,06:30:00,07:00:00,900,1
28250763,07:20:00,19:40:00,1200,1
28244545,24:05:00,24:30:00,1500,1
28244548,05:45:00,07:05:00,960,1
28244551,07:16:00,09:50:00,660,1
28244554,10:02:00,14:02:00,720,1
28244557,14:15:00,19:14:00,780,1
28244560,19:40:00,20:44:00,960,1
28244563,21:17:00,22:08:00,1020,1
28245192,18:11:00,18:25:00,840,1
28245168,06:08:00,06:26:00,1080,1
28245170,07:02:00,07:15:00,780,1
28245173,08:03:00,08:27:00,720,1
28245189,16:05:00,16:47:00,840,1
28245184,13:31:00,13:59:00,840,1
28245174,08:39:00,08:51:00,720,1
28245181,12:07:00,12:21:00,840,1
28245198,21:04:00,21:21:00,1020,1
28245199,21:39:00,21:57:00,1080,1
28245182,12:35:00,12:49:00,840,1
28245172,07:39:00,07:51:00,720,1
28245191,17:43:00,17:57:00,840,1
28245183,13:03:00,13:17:00,840,1
28245179,11:11:00,11:25:00,840,1
28245175,09:05:00,09:19:00,840,1
28245187,15:09:00,15:23:00,840,1
28245176,09:33:00,09:47:00,840,1
28245194,19:07:00,19:21:00,840,1
28245177,10:01:00,10:29:00,840,1
28245188,15:37:00,15:51:00,840,1
28245185,14:13:00,14:27:00,840,1
28245190,17:01:00,17:29:00,840,1
28245178,10:43:00,10:57:00,840,1
28245180,11:39:00,11:53:00,840,1
28245186,14:41:00,14:55:00,840,1
28245193,18:39:00,18:53:00,840,1
28245195,19:36:00,19:54:00,1080,1
28245196,20:11:00,20:29:00,1080,1
28245202,23:03:00,23:26:00,1380,1
28245166,24:10:00,24:30:00,1200,1
28270567,05:05:00,06:17:00,1080,1
28270568,06:27:00,06:38:00,660,1
28270569,06:50:00,08:50:00,720,1
28270570,09:04:00,18:24:00,840,1
28270571,18:40:00,18:57:00,1020,1
28270572,19:15:00,19:32:00,1020,1
