shape_seg_id,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_26BASC0_2511_2401,193052,38.762409,-9.098469,18,
1_26BASC0_2401_2403,193052,38.761089,-9.096441,19,
1_26BASC0_2403_2405,193052,38.758548,-9.097302,20,
1_26BASC0_2405_2406,193052,38.757411,-9.098171,21,
1_26BASC0_2406_2409,193052,38.755317,-9.096797,22,
1_26BASC0_2409_2410,193052,38.755026,-9.09661,23,
1_26BDESC0_2410_2407,193053,38.757181,-9.098157,1,
1_26BDESC0_2407_2408,193053,38.758483,-9.097139,2,
1_26BDESC0_2408_2404,193053,38.761271,-9.096129,3,
1_26BDESC0_2404_2402,193053,38.762504,-9.098108,4,
1_26BDESC0_2402_2512,193053,38.766221,-9.097806,5,
1_26BDESC0_2512_7825,193053,38.767173,-9.099085,6,
1_26BDESC0_7825_2324,193053,38.766573,-9.104376,7,
1_26BDESC0_2324_2322,193053,38.763444,-9.104088,8,
1_26BDESC0_2322_8420,193053,38.762992,-9.107909,9,
1_26BDESC0_8420_7717,193053,38.765286,-9.109616,10,
1_26BDESC0_7717_7715,193053,38.767445,-9.110039,11,
1_26BDESC0_7715_7809,193053,38.770538,-9.108669,12,
1_26BDESC0_7809_7812,193053,38.773794,-9.10476,13,
1_26BDESC0_7812_7910,193053,38.77478,-9.101771,14,
1_26BDESC0_7910_78104,193053,38.775918,-9.094758,15,
1_26BDESC0_78104_78103,193053,38.777196,-9.09427,16,
1_26BDESC0_78103_79113,193053,38.77785,-9.092684,17,
1_26BDESC0_79113_79114,193053,38.780644,-9.093862,18,
1_26BDESC0_79114_79115,193053,38.781903,-9.094573,19,
1_26BDESC0_79115_79107,193053,38.783173,-9.094082,20,
1_26BDESC0_79107_79117,193053,38.78597,-9.09648,21,
1_26BDESC0_79117_79119,193053,38.78825,-9.09796,22,
1_26BDESC0_79119_79123,193053,38.788751,-9.099537,23,
1_26BDESC0_79123_79121,193053,38.79164,-9.099204,24,
1_26BDESC0_79121_79122,193053,38.793773,-9.097544,25,
1_28EASC0_819_803,193054,38.7192,-9.135564,1,
1_28EASC0_803_705,193054,38.721997,-9.135277,2,
1_28EASC0_705_707,193054,38.723434,-9.133834,3,
1_28EASC0_707_709,193054,38.723116,-9.132004,4,
1_28EASC0_709_9127,193054,38.722311,-9.131069,5,
1_28EASC0_9127_9129,193054,38.720979,-9.130203,6,
1_28EASC0_9129_9131,193054,38.719221,-9.12988,7,
1_28EASC0_9131_14804,193054,38.717217,-9.129884,8,
1_28EASC0_14804_14802,193054,38.715036,-9.128831,9,
1_28EASC0_14802_13806,193054,38.713507,-9.128725,10,
1_28EASC0_13806_13814,193054,38.713085,-9.129708,11,
1_28EASC0_13814_13812,193054,38.712182,-9.130408,12,
1_28EASC0_13812_13816,193054,38.711314,-9.130714,13,
1_28EASC0_13816_13804,193054,38.710166,-9.13234,14,
1_28EASC0_13804_13802,193054,38.710052,-9.134268,15,
1_28EASC0_13802_5604,193054,38.709669,-9.137048,16,
1_28EASC0_5604_10518,193054,38.708072,-9.140464,17,
1_28EASC0_10518_10516,193054,38.708265,-9.141982,18,
1_28EASC0_10516_10514,193054,38.710323,-9.142011,19,
1_28EASC0_10514_10512,193054,38.710788,-9.143595,20,
1_28EASC0_10512_10510,193054,38.710801,-9.145324,21,
1_28EASC0_10510_9906,193054,38.711046,-9.147603,22,
1_28EASC0_9906_9904,193054,38.711029,-9.14984,23,
1_28EASC0_9904_6724,193054,38.710769,-9.151869,24,
1_28EASC0_6724_6722,193054,38.711477,-9.153191,25,
1_28EASC0_6722_6720,193054,38.712478,-9.155726,26,
1_28EASC0_6720_6718,193054,38.712761,-9.157436,27,
1_28EASC0_6718_8112,193054,38.713735,-9.16023,28,
1_28EASC0_8112_8110,193054,38.714509,-9.162113,29,
1_28EASC0_8110_8108,193054,38.715105,-9.163034,30,
1_28EASC0_8108_8002,193054,38.715461,-9.164532,31,
1_28EASC0_8002_8018,193054,38.714973,-9.166431,32,
1_28EASC0_8018_8017,193054,38.714282,-9.169519,33,
1_28EASC1_819_803,193055,38.7192,-9.135564,1,
1_28EASC1_803_705,193055,38.721997,-9.135277,2,
1_28EASC1_705_707,193055,38.723434,-9.133834,3,
1_28EASC1_707_709,193055,38.723116,-9.132004,4,
1_28EASC1_709_9127,193055,38.722311,-9.131069,5,
1_28EASC1_9127_9129,193055,38.720979,-9.130203,6,
1_28EASC1_9129_9131,193055,38.719221,-9.12988,7,
1_28EASC1_9131_14804,193055,38.717217,-9.129884,8,
1_28EASC1_14804_14802,193055,38.715036,-9.128831,9,
1_28EASC1_14802_13806,193055,38.713507,-9.128725,10,
1_28EASC1_13806_13814,193055,38.713085,-9.129708,11,
1_28EASC1_13814_13812,193055,38.712182,-9.130408,12,
1_28EASC1_13812_13816,193055,38.711314,-9.130714,13,
1_28EASC1_13816_13804,193055,38.710166,-9.13234,14,
1_28EASC1_13804_13802,193055,38.710052,-9.134268,15,
1_28EASC1_13802_5604,193055,38.709669,-9.137048,16,
1_28EASC1_5604_10518,193055,38.708072,-9.140464,17,
1_28EASC1_10518_10516,193055,38.708265,-9.141982,18,
1_28EASC1_10516_10514,193055,38.710323,-9.142011,19,
1_28EASC1_10514_10512,193055,38.710788,-9.143595,20,
1_28EASC1_10512_10510,193055,38.710801,-9.145324,21,
1_28EASC1_10510_9906,193055,38.711046,-9.147603,22,
1_28EASC1_9906_9904,193055,38.711029,-9.14984,23,
1_28EASC1_9904_6724,193055,38.710769,-9.151869,24,
1_28EASC1_6724_6722,193055,38.711477,-9.153191,25,
1_28EASC1_6722_6720,193055,38.712478,-9.155726,26,
1_28EASC1_6720_6718,193055,38.712761,-9.157436,27,
1_28EASC1_6718_8115,193055,38.713209,-9.159841,28,
1_29BCIRC0_8421_8413,193064,38.760471,-9.111998,1,
1_29BCIRC0_8413_8439,193064,38.7587,-9.110542,2,
1_29BCIRC0_8439_8440,193064,38.758296,-9.108251,3,
1_29BCIRC0_8440_2335,193064,38.758347,-9.105644,4,
1_29BCIRC0_2335_2336,193064,38.760559,-9.105981,5,
1_29BCIRC0_2336_8441,193064,38.761519,-9.108292,6,
1_29BCIRC0_8441_8442,193064,38.760927,-9.110334,7,
1_29BCIRC0_8442_8423,193064,38.762359,-9.109549,8,
1_29BCIRC0_8423_7717,193064,38.765286,-9.109616,9,
1_29BCIRC0_7717_7715,193064,38.767445,-9.110039,10,
1_29BCIRC0_7715_7809,193064,38.770538,-9.108669,11,
1_29BCIRC0_7809_7801,193064,38.771901,-9.10987,12,
1_29BCIRC0_7801_12309,193064,38.774421,-9.11117,13,
1_29BCIRC0_12309_12304,193064,38.774755,-9.114195,14,
1_29BCIRC0_12304_7720,193064,38.772557,-9.113691,15,
1_29BCIRC0_7720_12208,193064,38.774067,-9.116782,16,
1_29BCIRC0_12208_12311,193064,38.776734,-9.117893,17,
1_29BCIRC0_12311_12603,193064,38.779376,-9.120132,18,
1_29BCIRC0_12603_12212,193064,38.779021,-9.117362,19,
1_29BCIRC0_12212_12213,193064,38.776677,-9.120043,20,
1_29BCIRC0_12213_12214,193064,38.773706,-9.119272,21,
1_29BCIRC0_12214_12211,193064,38.772449,-9.117945,22,
1_29BCIRC0_12211_7727,193064,38.77096,-9.11714,23,
1_29BCIRC0_7727_7704,193064,38.769084,-9.11732,24,
1_29BCIRC0_7704_7731,193064,38.768162,-9.11979,25,
1_29BCIRC0_7731_7518,193064,38.767825,-9.123378,26,
1_29BCIRC0_7518_7519,193064,38.765768,-9.124908,27,
1_29BCIRC0_7519_7520,193064,38.763482,-9.12281,28,
1_29BCIRC0_7520_7521,193064,38.764307,-9.120461,29,
1_29BCIRC0_7521_8404,193064,38.764046,-9.119032,30,
1_29BCIRC0_8404_8433,193064,38.762169,-9.116615,31,
1_29BCIRC0_8433_8421,193064,38.761606,-9.113671,32,
1_31BASC0_2222_2208,193065,38.747181,-9.104732,1,
1_31BASC0_2208_2206,193065,38.749498,-9.10488,2,
1_31BASC0_2206_89908,193065,38.75303,-9.105516,3,
1_31BASC0_89908_89902,193065,38.754392,-9.10876,4,
1_31BASC0_89902_89921,193065,38.752813,-9.110326,5,
1_31BASC0_89921_89923,193065,38.751742,-9.109488,6,
1_31BASC0_89923_89925,193065,38.752056,-9.112018,7,
1_31BASC0_89925_89909,193065,38.754621,-9.113711,8,
1_31BASC0_89909_89903,193065,38.755985,-9.113618,9,
1_31BASC0_89903_89905,193065,38.753727,-9.114232,10,
